gameid,team,player,champion,win_loss
112966697102367382,R7,Keine,Leblanc,Loss
112966697102367382,R7,Ceo,Varus,Loss
112966697102367382,R7,Lyonz,Nautilus,Loss
112966697102367382,PNG,Wizer,KSante,Win
112966697102367382,PNG,CarioK,MonkeyKing,Win
112966697102367382,PNG,dyNquedo,Ahri,Win
112966697102367382,PNG,TitaN,Kalista,Win
112966697102367382,PNG,Kuri,Rell,Win
112966697102367384,PSG,Azhi,Gnar,Win
112966697102367384,PSG,JunJia,Skarner,Win
112966697102367384,PSG,Maple,Orianna,Win
112966697102367384,PSG,Betty,Jhin,Win
112966697102367384,PSG,Woody,Alistar,Win
112966697102367384,100,Sniper,Renekton,Loss
112966697102367384,100,River,Sejuani,Loss
112966697102367384,100,Quid,Hwei,Loss
112966697102367384,100,Tomo,Varus,Loss
112966697102367384,100,Eyla,Renata,Loss
112966697102367385,PSG,Azhi,Rumble,Win
112966697102367385,PSG,JunJia,Sejuani,Win
112966697102367385,PSG,Maple,Yone,Win
112966697102367385,PSG,Betty,Ezreal,Win
112966697102367385,PSG,Woody,Alistar,Win
112966697102367385,100,Sniper,Aatrox,Loss
112966697102367385,100,River,Lillia,Loss
112966697102367385,100,Quid,Renekton,Loss
112966697102367385,100,Tomo,Ziggs,Loss
112966697102367385,100,Eyla,Rell,Loss
112966669924129224,BLG,Bin,Gnar,Win
112966669924129224,BLG,Wei,Vi,Win
112966669924129224,BLG,knight,Ahri,Win
112966669924129224,BLG,Elk,Kaisa,Win
112966669924129224,BLG,ON,Rell,Win
112966669924129224,MDK,Myrwn,KSante,Loss
112966669924129224,MDK,Elyoya,Skarner,Loss
112966669924129224,MDK,Fresskowy,Syndra,Loss
112966669924129224,MDK,Supa,Tristana,Loss
112966669924129224,MDK,Alvaro,Alistar,Loss
112966669924129226,TES,369,Renekton,Win
112966669924129226,TES,Tian,Skarner,Win
112966669924129226,TES,Creme,Aurora,Win
112966669924129226,TES,JackeyLove,Jhin,Win
112966669924129226,TES,Meiko,Rell,Win
112966669924129226,T1,Zeus,Jax,Loss
112966669924129226,T1,Oner,MonkeyKing,Loss
112966669924129226,T1,Faker,Neeko,Loss
112966669924129226,T1,Gumayusi,Ashe,Loss
112966669924129226,T1,Keria,Rakan,Loss
112966669924129232,GEN,Kiin,Rumble,Win
112966669924129232,GEN,Canyon,Maokai,Win
112966669924129232,GEN,Chovy,Smolder,Win
112966669924129232,GEN,Peyz,Kalista,Win
112966669924129232,GEN,Lehends,Renata,Win
112966669924129232,WBG,Breathe,Jax,Loss
112966669924129232,WBG,Tarzan,Ivern,Loss
112966669924129232,WBG,Xiaohu,Lucian,Loss
112966669924129232,WBG,Light,Jinx,Loss
112966669924129232,WBG,Crisp,Poppy,Loss
112966669924129230,FNC,Oscarinin,Renekton,Loss
112966669924129230,FNC,Razork,Zyra,Loss
112966669924129230,FNC,Humanoid,Yone,Loss
112966669924129230,FNC,Noah,Kaisa,Loss
112966669924129230,FNC,Jun,Rell,Loss
112966669924129230,DK,Kingen,Gnar,Win
112966669924129230,DK,Lucid,Skarner,Win
112966669924129230,DK,ShowMaker,Leblanc,Win
112966669924129230,DK,Aiming,Ezreal,Win
112966669924129230,DK,Moham,Braum,Win
112966669924129228,TL,Impact,Jax,Loss
112966669924129228,TL,UmTi,Skarner,Loss
112966669924129228,TL,APA,Neeko,Loss
112966669924129228,TL,Yeon,Kaisa,Loss
112966669924129228,TL,CoreJJ,Leona,Loss
112966669924129228,LNG,Zika,Rumble,Win
112966669924129228,LNG,Weiwei,Sejuani,Win
112966669924129228,LNG,Scout,Tristana,Win
112966669924129228,LNG,GALA,Jhin,Win
112966669924129228,LNG,Hang,Rell,Win
112966669924129218,HLE,Doran,Gnar,Win
112966669924129218,HLE,Peanut,Maokai,Win
112966669924129218,HLE,Zeka,Yone,Win
112966669924129218,HLE,Viper,Xayah,Win
112966669924129218,HLE,Delight,Rakan,Win
112966669924129218,PSG,Azhi,Jax,Loss
112966669924129218,PSG,JunJia,Sejuani,Loss
112966669924129218,PSG,Maple,Akali,Loss
112966669924129218,PSG,Betty,Kaisa,Loss
112966669924129218,PSG,Woody,Alistar,Loss
112966669924129220,GAM,Kiaya,Gnar,Loss
112966669924129220,GAM,Levi,Vi,Loss
112966669924129220,GAM,Emo,Akali,Loss
112966669924129220,GAM,Easylove,Jhin,Loss
112966669924129220,GAM,Elio,Poppy,Loss
112966669924129220,FLY,Bwipo,Sion,Win
112966669924129220,FLY,Inspired,Ivern,Win
112966669924129220,FLY,Quad,Orianna,Win
112966669924129220,FLY,Massu,Kalista,Win
112966669924129220,FLY,Busio,Leona,Win
112966669924129222,G2,BrokenBlade,Yasuo,Win
112966669924129222,G2,Yike,Brand,Win
112966669924129222,G2,Caps,Yone,Win
112966669924129222,G2,Hans Sama,Jhin,Win
112966669924129222,G2,Mikyx,Rell,Win
112966669924129222,PNG,Wizer,Aurora,Loss
112966669924129222,PNG,CarioK,Maokai,Loss
112966669924129222,PNG,dyNquedo,Smolder,Loss
112966669924129222,PNG,TitaN,Xayah,Loss
112966669924129222,PNG,Kuri,Rakan,Loss
112966669924194776,BLG,Bin,KSante,Loss
112966669924194776,BLG,Wei,Vi,Loss
112966669924194776,BLG,knight,Orianna,Loss
112966669924194776,BLG,Elk,Jhin,Loss
112966669924194776,BLG,ON,Rell,Loss
112966669924194776,LNG,Zika,Rumble,Win
112966669924194776,LNG,Weiwei,Nocturne,Win
112966669924194776,LNG,Scout,Yone,Win
112966669924194776,LNG,GALA,Ashe,Win
112966669924194776,LNG,Hang,Poppy,Win
112966669924194774,GEN,Kiin,Gnar,Win
112966669924194774,GEN,Canyon,Maokai,Win
112966669924194774,GEN,Chovy,Yone,Win
112966669924194774,GEN,Peyz,Kaisa,Win
112966669924194774,GEN,Lehends,Leona,Win
112966669924194774,TES,369,Rumble,Loss
112966669924194774,TES,Tian,Sejuani,Loss
112966669924194774,TES,Creme,Lucian,Loss
112966669924194774,TES,JackeyLove,Jhin,Loss
112966669924194774,TES,Meiko,Rell,Loss
112966669924129234,G2,BrokenBlade,Poppy,Loss
112966669924129234,G2,Yike,Lillia,Loss
112966669924129234,G2,Caps,Yone,Loss
112966669924129234,G2,Hans Sama,Varus,Loss
112966669924129234,G2,Mikyx,Rell,Loss
112966669924129234,HLE,Doran,Jax,Win
112966669924129234,HLE,Peanut,Sejuani,Win
112966669924129234,HLE,Zeka,Smolder,Win
112966669924129234,HLE,Viper,Ashe,Win
112966669924129234,HLE,Delight,Braum,Win
112966669924194782,TL,Impact,Renekton,Loss
112966669924194782,TL,UmTi,Sejuani,Loss
112966669924194782,TL,APA,Syndra,Loss
112966669924194782,TL,Yeon,Lucian,Loss
112966669924194782,TL,CoreJJ,Nami,Loss
112966669924194782,WBG,Breathe,Gnar,Win
112966669924194782,WBG,Tarzan,Skarner,Win
112966669924194782,WBG,Xiaohu,Orianna,Win
112966669924194782,WBG,Light,Kalista,Win
112966669924194782,WBG,Crisp,Renata,Win
112966669924194778,T1,Zeus,Rumble,Win
112966669924194778,T1,Oner,Vi,Win
