gameid,team,player,champion,win_loss
112966669924129220,FLY,FLY Bwipo,Sion,Win
112966669924129220,FLY,FLY Inspired,Ivern,Win
112966669924129220,FLY,FLY Quad,Orianna,Win
112966669924129220,FLY,FLY Massu,Kalista,Win
112966669924129220,FLY,FLY Busio,Leona,Win
112966669924129222,G2,G2 BrokenBlade,Yasuo,Win
112966669924129222,G2,G2 Yike,Brand,Win
112966669924129222,G2,G2 Caps,Yone,Win
112966669924129222,G2,G2 Hans Sama,Jhin,Win
112966669924129222,G2,G2 Mikyx,Rell,Win
112966669924129222,PNG,PNG Wizer,Aurora,Loss
112966669924129222,PNG,PNG CarioK,Maokai,Loss
112966669924129222,PNG,PNG dyNquedo,Smolder,Loss
112966669924129222,PNG,PNG TitaN,Xayah,Loss
112966669924129222,PNG,PNG Kuri,Rakan,Loss
112966669924194776,BLG,BLG Bin,KSante,Loss
112966669924194776,BLG,BLG Wei,Vi,Loss
112966669924194776,BLG,BLG knight,Orianna,Loss
112966669924194776,BLG,BLG Elk,Jhin,Loss
112966669924194776,BLG,BLG ON,Rell,Loss
112966669924194776,LNG,LNG Zika,Rumble,Win
112966669924194776,LNG,LNG Weiwei,Nocturne,Win
112966669924194776,LNG,LNG Scout,Yone,Win
112966669924194776,LNG,LNG GALA,Ashe,Win
112966669924194776,LNG,LNG Hang,Poppy,Win
112966669924194774,GEN,GEN Kiin,Gnar,Win
112966669924194774,GEN,GEN Canyon,Maokai,Win
112966669924194774,GEN,GEN Chovy,Yone,Win
112966669924194774,GEN,GEN Peyz,Kaisa,Win
112966669924194774,GEN,GEN Lehends,Leona,Win
112966669924194774,TES,TES 369,Rumble,Loss
112966669924194774,TES,TES Tian,Sejuani,Loss
112966669924194774,TES,TES Creme,Lucian,Loss
112966669924194774,TES,TES JackeyLove,Jhin,Loss
112966669924194774,TES,TES Meiko,Rell,Loss
112966669924129234,G2,G2 BrokenBlade,Poppy,Loss
112966669924129234,G2,G2 Yike,Lillia,Loss
112966669924129234,G2,G2 Caps,Yone,Loss
112966669924129234,G2,G2 Hans Sama,Varus,Loss
112966669924129234,G2,G2 Mikyx,Rell,Loss
112966669924129234,HLE,HLE Doran,Jax,Win
112966669924129234,HLE,HLE Peanut,Sejuani,Win
112966669924129234,HLE,HLE Zeka,Smolder,Win
112966669924129234,HLE,HLE Viper,Ashe,Win
112966669924129234,HLE,HLE Delight,Braum,Win
112966669924194782,TL,TL Impact,Renekton,Loss
112966669924194782,TL,TL UmTi,Sejuani,Loss
112966669924194782,TL,TL APA,Syndra,Loss
112966669924194782,TL,TL Yeon,Lucian,Loss
112966669924194782,TL,TL CoreJJ,Nami,Loss
112966669924194782,WBG,WBG Breathe,Gnar,Win
112966669924194782,WBG,WBG Tarzan,Skarner,Win
112966669924194782,WBG,WBG Xiaohu,Orianna,Win
112966669924194782,WBG,WBG Light,Kalista,Win
112966669924194782,WBG,WBG Crisp,Renata,Win
112966669924194778,T1,T1 Zeus,Rumble,Win
112966669924194778,T1,T1 Oner,Vi,Win
112966669924194778,T1,T1 Faker,Yone,Win
112966669924194778,T1,T1 Gumayusi,Draven,Win
