gameid,team,player,champion,kills,deaths,assists
ESPORTSTMNT04_1970517,Galatasaray Esports,Crazy,Jayce,0,3,1
ESPORTSTMNT04_1970517,Galatasaray Esports,Mojito,Lee Sin,0,4,1
ESPORTSTMNT04_1970517,Galatasaray Esports,Bolulu,Azir,0,1,0
ESPORTSTMNT04_1970517,Galatasaray Esports,Alive,Lucian,0,5,1
ESPORTSTMNT04_1970517,Galatasaray Esports,Zergsting,Nami,2,4,0
ESPORTSTMNT04_1970517,DetonatioN FocusMe,Evi,Urgot,4,1,5
ESPORTSTMNT04_1970517,DetonatioN FocusMe,Steal,Xin Zhao,5,1,6
ESPORTSTMNT04_1970517,DetonatioN FocusMe,Aria,Zoe,1,0,5
ESPORTSTMNT04_1970517,DetonatioN FocusMe,Yutapon,Aphelios,4,0,10
ESPORTSTMNT04_1970517,DetonatioN FocusMe,Gaeng,Thresh,3,0,13
ESPORTSTMNT04_1970517,Galatasaray Esports,,,2,17,3
ESPORTSTMNT04_1970517,DetonatioN FocusMe,,,17,2,39
ESPORTSTMNT04_1970523,Beyond Gaming,Liang,Jayce,5,1,4
ESPORTSTMNT04_1970523,Beyond Gaming,Husha,Xin Zhao,5,1,9
ESPORTSTMNT04_1970523,Beyond Gaming,1116,Syndra,1,3,8
ESPORTSTMNT04_1970523,Beyond Gaming,Doggo,Ezreal,8,0,4
ESPORTSTMNT04_1970523,Beyond Gaming,Kino,Rakan,0,2,14
ESPORTSTMNT04_1970523,Unicorns of Love.CIS,BOSS,Wukong,4,3,2
ESPORTSTMNT04_1970523,Unicorns of Love.CIS,AHaHaCiK,Lee Sin,0,4,3
ESPORTSTMNT04_1970523,Unicorns of Love.CIS,Nomanz,Sylas,1,3,3
ESPORTSTMNT04_1970523,Unicorns of Love.CIS,MDB,Miss Fortune,1,5,3
ESPORTSTMNT04_1970523,Unicorns of Love.CIS,SaNTaS,Nautilus,0,4,2
ESPORTSTMNT04_1970523,Beyond Gaming,,,19,7,39
ESPORTSTMNT04_1970523,Unicorns of Love.CIS,,,6,19,13
ESPORTSTMNT04_1970530,Cloud9,Fudge,Jarvan IV,4,2,12
ESPORTSTMNT04_1970530,Cloud9,Blaber,Taliyah,7,2,10
ESPORTSTMNT04_1970530,Cloud9,Perkz,Tryndamere,5,1,8
ESPORTSTMNT04_1970530,Cloud9,Zven,Ezreal,6,1,12
ESPORTSTMNT04_1970530,Cloud9,Vulcan,Leona,0,3,11
ESPORTSTMNT04_1970530,Galatasaray Esports,Crazy,Jayce,3,4,2
ESPORTSTMNT04_1970530,Galatasaray Esports,Mojito,Xin Zhao,1,6,1
ESPORTSTMNT04_1970530,Galatasaray Esports,Bolulu,Sylas,3,4,5
ESPORTSTMNT04_1970530,Galatasaray Esports,Alive,Miss Fortune,2,4,3
ESPORTSTMNT04_1970530,Galatasaray Esports,Zergsting,Thresh,0,4,5
ESPORTSTMNT04_1970530,Cloud9,,,22,9,53
ESPORTSTMNT04_1970530,Galatasaray Esports,,,9,22,16
ESPORTSTMNT04_1970541,LNG Esports,Ale,Wukong,8,0,1
ESPORTSTMNT04_1970541,LNG Esports,Tarzan,Graves,7,1,4
ESPORTSTMNT04_1970541,LNG Esports,ICON,Lissandra,3,2,7
ESPORTSTMNT04_1970541,LNG Esports,Light,Miss Fortune,2,0,6
ESPORTSTMNT04_1970541,LNG Esports,Iwandy,Leona,1,0,7
